Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
150252,The Beauty of the Husband: A Fictional Essay in 29 Tangos,Anne Carson,"Carson, Anne",,"=""0375707573""","=""9780375707575""",5.0,Vintage Books,Paperback,160,2002,2001,2026/03/30,2026/03/30,,,read,,,,1,0
90051,The Complete Poems,Constantinos P. Cavafy,"Cavafy, Constantinos P.","Rae Dalven, W.H. Auden","=""0156198207""","=""9780156198202""",5.0,Ecco,Paperback,310,1976,1935,2026/03/30,2026/03/27,,,read,Read this beautiful collection on the way to Athens! Really recommend it!!!,,,1,0
436982,Notes from the Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Constance Garnett,"=""""","=""""",0,Dover Publications,Paperback,96,1992,1864,,2026/03/27,to-read,to-read (#111),to-read,,,,0,0
210693538,Agnès,Peter Stamm,"Stamm, Peter",,"=""2267048108""","=""9782267048100""",3.0,BOURGOIS,,192,2024,1998,2026/03/12,2026/03/11,,,read,,,,1,0
234686504,La trilogie de Copenhague: Enfance - Jeunesse - Dépendance,Tove Ditlevsen,"Ditlevsen, Tove",,"=""2267055864""","=""9782267055863""",5.0,Bourgois,,496,2025,1971,2026/03/11,2026/03/11,,,read,"Absolutely excellent. Last part will destroy you. Really loved it, curious to read more of her poetry.",,,1,0
60115681,Histoires de la nuit,Laurent Mauvignier,"Mauvignier, Laurent",,"=""2707347264""","=""9782707347268""",0,Minuit ,Mass Market Paperback,608,2022,2020,,2026/03/01,currently-reading,currently-reading (#13),currently-reading,,,,1,0
239256038,James,Percival Everett,"Everett, Percival",,"=""1035031264""","=""9781035031269""",4.0,Picador,Paperback,305,2025,2024,2026/03/01,2026/02/28,,,read,,,,1,0
241323599,Jour de ressac,Maylis de Kerangal,"Kerangal, Maylis de",Unknown Author,"=""2073133150""","=""9782073133151""",3.0,FOLIO,,272,2026,2024,2026/02/28,2026/02/27,,,read,,,,1,0
3217609,Tous mes amis,Marie NDiaye,"NDiaye, Marie",,"=""2707318590""","=""9782707318596""",0,Les éditions de minuit,Paperback,174,2004,2004,,2026/02/28,to-read,to-read (#110),to-read,,,,0,0
59053850,Om udregning af rumfang III,Solvej Balle,"Balle, Solvej",,"=""8799584891""","=""9788799584895""",3.0,Pelagraf,Paperback,176,2021,2021,2026/02/27,2025/04/23,,,read,"Okay, more like 2,5-3 stars (goodreads should have half stars like Letterboxd). Anyway. It’s getting a bit redundant, which is concerning given that there are other 4 books on their way. Felt like a “buffer book” compared to the others which had more spine. Looking forward to the fourth one, I still believe she writes very well and keeps a lot of potential to develop the main tension of the series, yet this third volume was rather disappointing. ",,,1,0
51587,The Sluts,Dennis Cooper,"Cooper, Dennis",,"=""0786716746""","=""9780786716746""",0,Carroll & Graf Publishers,Paperback,263,2005,2004,,2026/02/14,to-read,to-read (#109),to-read,,,,0,0
